,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
150,Chad Beebe,MIN,WR,7.9,96.1,0.7,0.1,0,0,0,0,0,0,0,0
151,Andre Roberts,HOU,WR,7.8,101.5,0.5,0,0,0,0,0,0,0,0,0
107,JaMycal Hasty,SF,RB,2.6,18.1,0.1,0,15.7,80.5,0.5,0,0,0,0,0
152,Cam Sims,WAS,WR,7.6,102.8,0.5,0,0,0,0,0,0,0,0,0
108,Jeremy McNichols,TEN,RB,3.6,22.8,0,0,19.4,87.4,0.3,0,0,0,0,0
109,Reggie Bonnafon,CAR,RB,2.3,17.7,0,0,19.2,87.9,0.4,0,0,0,0,0
153,KeeSean Johnson,ARI,WR,7.7,88.8,0.7,0,0,0,0,0,0,0,0,0
154,Mike Thomas,CIN,WR,7.5,93.7,0.6,0.1,0,0,0,0,0,0,0,0
110,Jaret Patterson,WAS,RB,2.2,18.1,0.1,0.1,16.7,69.5,0.6,0,0,0,0,0
111,Rico Dowdle,DAL,RB,3.3,26.5,0.1,0,15.5,64.6,0.5,0,0,0,0,0
112,Trey Edmunds,PIT,RB,3.9,25.8,0.2,0,14.8,64,0.4,0,0,0,0,0
46,James Morgan,NYJ,QB,0,0,0,0.2,1.5,5.6,0,31.6,19.4,215.7,1.3,1.2
155,Frank Darby,ATL,WR,7.3,92.4,0.5,0,0,0,0,0,0,0,0,0
87,Jordan Thomas,IND,TE,8.3,74,0.7,0,0,0,0,0,0,0,0,0
113,Travis Homer,SEA,RB,4.2,30.5,0.1,0.1,15.5,65.7,0.3,0,0,0,0,0
156,Chris Hogan,NO,WR,6.3,84.7,0.6,0,0,0,0,0,0,0,0,0
159,Kalif Raymond,DET,WR,7.5,101.1,0.3,0.1,0,0,0,0,0,0,0,0
157,Alex Erickson,HOU,WR,7.9,92.6,0.4,0.1,0,0,0,0,0,0,0,0
158,Penny Hart,SEA,WR,6.3,73.8,0.5,0,1.8,9.3,0,0,0,0,0,0
115,Ke'Shawn Vaughn,TB,RB,2.3,16.5,0.1,0,15,63.6,0.5,0,0,0,0,0
114,Jordan Howard,PHI,RB,1,7.7,0,0,17.6,68.6,0.7,0,0,0,0,0
160,Anthony Schwartz,CLE,WR,6.8,82.4,0.6,0,0,0,0,0,0,0,0,0
88,Nick Vannett,NO,TE,7.3,80.1,0.6,0,0,0,0,0,0,0,0,0
118,Jordan Wilkins,IND,RB,1.7,12.6,0.1,0,14.6,71.2,0.4,0,0,0,0,0
117,Gerrid Doaks,MIA,RB,4.4,32.8,0.1,0.1,12.2,50.9,0.4,0,0,0,0,0
116,D'Ernest Johnson,CLE,RB,2.3,16.9,0,0.1,18.2,77.9,0.4,0,0,0,0,0
47,Trace McSorley,BAL,QB,0,0,0,0.1,4.4,19.2,0.1,24,14.8,166.5,1,0.7
119,Eno Benjamin,ARI,RB,2.3,18.6,0,0,16.4,70.7,0.3,0,0,0,0,0
120,Gary Brightwell,NYG,RB,3,22,0,0,20,88,0,0,0,0,0,0
121,Royce Freeman,DEN,RB,3.2,20,0.1,0,14.3,59.9,0.4,0,0,0,0,0
161,Juwan Johnson,NO,WR,7.8,103.7,0.1,0,0,0,0,0,0,0,0,0
122,D'Onta Foreman,ATL,RB,1.4,10,0,0,16.8,70.6,0.4,0,0,0,0,0
48,Kellen Mond,MIN,QB,0,0,0,0.1,1.7,7.7,0.1,20.9,13.2,152.1,1.1,0.4
91,Evan Baylis,KC,TE,6.9,72,0.6,0,0,0,0,0,0,0,0,0
89,Tre' McKitty,LAC,TE,7.7,81.6,0.4,0,0,0,0,0,0,0,0,0
90,Tommy Sweeney,BUF,TE,6,75.5,0.5,0,0,0,0,0,0,0,0,0
50,Marcus Mariota,LV,QB,0,0,0,0.1,4.5,24,0.1,21.4,13.4,151.9,0.8,0.7
49,Joe Flacco,PHI,QB,0,0,0,0.7,2.4,9.8,0.1,30.4,19.1,202.8,1,0.7
162,DaeSean Hamilton,DEN,WR,7.3,75.2,0.5,0,0,0,0,0,0,0,0,0
92,J.P. Holtz,CHI,TE,5.9,73.3,0.5,0,0,0,0,0,0,0,0,0
51,Gardner Minshew II,JAC,QB,0,0,0,0.6,2.4,12.6,0,24.2,16.1,169,1.1,0.5
93,Jeremy Sprinkle,DAL,TE,6.9,71.4,0.5,0,0,0,0,0,0,0,0,0
163,Steven Sims Jr.,WAS,WR,6,75.2,0.4,0,0,0,0,0,0,0,0,0
94,Tommy Tremble,CAR,TE,8.6,85.4,0.4,0.5,0,0,0,0,0,0,0,0
52,Sam Ehlinger,IND,QB,0,0,0,0,2,7,0,31,17,180,1,1
123,Alec Ingold,LV,RB,6.6,54.5,0.3,0.1,4.4,18.8,0.2,0,0,0,0,0
124,Patrick Ricard,BAL,RB,8.8,58.4,0.8,0.5,0.9,1.4,0,0,0,0,0,0
164,Nick Westbrook-Ikhine,TEN,WR,5.3,70.4,0.4,0,0,0,0,0,0,0,0,0
125,C.J. Ham,MIN,RB,5.9,49.8,0.3,0.1,4.8,20,0.2,0,0,0,0,0
53,Tim Boyle,DET,QB,0,0,0,0,2.7,3.3,0,26.3,16.3,181,0.7,0.3
126,Kene Nwangwu,MIN,RB,2.4,17.8,0,0,16.3,65.8,0.2,0,0,0,0,0
165,Jalen Hurd,SF,WR,3.3,41.3,0.3,0.1,4.7,28.8,0.2,0,0,0,0,0
96,Richard Rodgers,PHI,TE,5,65.7,0.5,0,0,0,0,0,0,0,0,0
127,Tony Brooks-James,PIT,RB,0.9,6.3,0,0,15.5,65.4,0.4,0,0,0,0,0
167,Albert Wilson,MIA,WR,6,61.9,0.4,0,1.6,8.8,0,0,0,0,0,0
166,Antonio Gandy-Golden,WAS,WR,4.9,64.9,0.4,0,1,5.8,0,0,0,0,0,0
95,Daniel Brown,NYJ,TE,5.4,63.7,0.5,0,0,0,0,0,0,0,0,0
128,Alex Collins,SEA,RB,1.4,10.7,0.1,0.2,12.5,52.6,0.5,0,0,0,0,0
54,Mitchell Trubisky,BUF,QB,0,0,0,0.1,3.6,15.2,0.1,18.3,12.1,134.5,0.9,0.7
97,Noah Togiai,IND,TE,6.4,60.9,0.5,0,0,0,0,0,0,0,0,0
168,John Ross,NYG,WR,4.3,56.6,0.5,0.1,0.7,3.9,0,0,0,0,0,0
55,Chad Henne,KC,QB,0,0,0,0.1,1.3,5.8,0,21.2,13.2,151.9,0.7,0.2
98,Charlie Woerner,SF,TE,5.4,63.9,0.4,0,0,0,0,0,0,0,0,0
99,Stephen Anderson,LAC,TE,5.3,65.6,0.4,0,0,0,0,0,0,0,0,0
56,Brian Lewerke,NYG,QB,0,0,0,0,1,4,0,17,10,107,1,0
100,Johnny Mundt,LAR,TE,5.3,57,0.5,0,0,0,0,0,0,0,0,0
101,Antony Auclair,HOU,TE,4.9,54.5,0.5,0,0,0,0,0,0,0,0,0
102,Zach Gentry,PIT,TE,6.1,54.9,0.5,0,0,0,0,0,0,0,0,0
129,Khalil Herbert,CHI,RB,2.8,22,0.1,0.1,9.7,40.3,0.3,0,0,0,0,0
57,John Wolford,LAR,QB,0,0,0,0.1,1.8,9.1,0,22,13.7,150.9,0.6,0.4
103,Jesse James,CHI,TE,6.1,51.4,0.5,0,0,0,0,0,0,0,0,0
169,Tajae Sharpe,ATL,WR,4.7,58.7,0.4,0,0,0,0,0,0,0,0,0
58,Garrett Gilbert,DAL,QB,0,0,0,0.1,1.5,6.2,0,20.2,12.6,143,0.6,0.4
170,Shi Smith,CAR,WR,5.1,62.6,0.3,0,0,0,0,0,0,0,0,0
