,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
658,Austin Walter,NYJ,RB,0.9,6.3,0,0,0.9,3.6,0,0,0,0
659,Isaiah Wright,WAS,WR,0.9,9.6,0,0,0,0,0,0,0,0
660,Adrian Killins Jr.,PHI,RB,0.9,6,0,0,0.9,3.9,0,0,0,0
661,Artavis Pierce,CHI,RB,0.9,6.3,0,0,0.9,3.8,0,0,0,0
662,Ryan Nall,CHI,RB,0.9,6.5,0,0,0.9,3.7,0,0,0,0
663,John Hightower,PHI,WR,0.7,9.6,0,0,0,0,0,0,0,0
664,Marcus Kemp,KC,WR,0.9,9.6,0,0,0,0,0,0,0,0
665,Vyncint Smith,NYJ,WR,0.9,10.1,0,0,0,0,0,0,0,0
666,DeAndre Carter,WAS,WR,0.9,10.4,0,0,0,0,0,0,0,0
667,Jason Moore,LAC,WR,0.8,9.6,0,0,0,0,0,0,0,0
668,Cullen Gillaspia,NYG,RB,0.9,5.2,0,0,0.9,3.7,0,0,0,0
669,Jake Lampman,NO,WR,0.7,9.4,0,0,0,0,0,0,0,0
670,Derrick Willies,CLE,WR,0.7,8.8,0,0,0,0,0,0,0,0
671,Marvin Hall,NE,WR,0.7,9,0,0,0,0,0,0,0,0
672,Darvin Kidsy,SEA,WR,0.8,8.9,0,0,0,0,0,0,0,0
673,Taquan Mizzell,NYG,RB,0.9,5.4,0,0,0.9,3.7,0,0,0,0
674,Ja'Marcus Bradley,CLE,WR,0.7,8.6,0,0,0,0,0,0,0,0
675,JoJo Natson,CLE,WR,0.7,8.6,0,0,0,0,0,0,0,0
676,River Cracraft,SF,WR,0.7,8.6,0,0,0,0,0,0,0,0
677,Dan Chisena,MIN,WR,0.7,8.7,0,0,0,0,0,0,0,0
678,Alexander Hollins,CLE,WR,0.7,8.7,0,0,0,0,0,0,0,0
679,Chad Williams,KC,WR,0.8,8.8,0,0,0,0,0,0,0,0
680,Robert Foster,MIA,WR,0.7,8.8,0,0,0,0,0,0,0,0
681,Jordan Franks,CLE,TE,0.8,8.2,0,0,0,0,0,0,0,0
682,MyCole Pruitt,SF,TE,0.9,8.5,0,0,0,0,0,0,0,0
683,Stanley Morgan Jr.,CIN,WR,0.8,9,0,0,0,0,0,0,0,0
684,KhaDarel Hodge,CLE,WR,0.7,9,0,0,0,0,0,0,0,0
685,John Ursua,SEA,WR,0.8,9,0,0,0,0,0,0,0,0
686,Cyril Grayson Jr.,TB,WR,0.9,9,0,0,0,0,0,0,0,0
687,Lawrence Cager,NYJ,WR,0.8,9,0,0,0,0,0,0,0,0
688,Tanner Gentry,BUF,WR,0.8,9.3,0,0,0,0,0,0,0,0
689,Trenton Cannon,CAR,RB,0.8,5,0,0,1,4,0,0,0,0
690,Jordan Scarlett,MIA,RB,0.9,5.3,0,0,0.9,3.9,0,0,0,0
691,Scottie Phillips,HOU,RB,0.9,5.9,0,0,0.8,3.5,0,0,0,0
692,Darrius Shepherd,KC,WR,0.9,9.5,0,0,0,0,0,0,0,0
693,Josh Malone,NYJ,WR,0.9,9.4,0,0,0,0,0,0,0,0
694,Jeff Badet,ATL,WR,0.9,9.3,0,0,0,0,0,0,0,0
695,Chris Rowland,ATL,WR,0.9,9.3,0,0,0,0,0,0,0,0
696,Keelan Doss,LV,WR,0.8,9.3,0,0,0,0,0,0,0,0
697,Riley Ridley,CHI,WR,0.8,9.2,0,0,0,0,0,0,0,0
698,Chad Hansen,DET,WR,0.9,9.2,0,0,0,0,0,0,0,0
699,Trenton Irwin,CIN,WR,0.8,9.2,0,0,0,0,0,0,0,0
700,Marcell Ateman,LV,WR,0.7,9.1,0,0,0,0,0,0,0,0
701,Cody Hollister,TEN,WR,0.7,8,0,0,0,0,0,0,0,0
702,Dante Pettis,NYG,WR,0.7,8.5,0,0,0,0,0,0,0,0
703,Laquon Treadwell,JAC,WR,0.8,8.4,0,0,0,0,0,0,0,0
704,Mack Hollins,MIA,WR,0.9,8.4,0,0,0,0,0,0,0,0
705,Kevin White,SF,WR,0.7,8.3,0,0,0,0,0,0,0,0
706,Tyrie Cleveland,DEN,WR,0.7,8,0,0,0,0,0,0,0,0
707,Fred Brown,TEN,WR,0.7,8,0,0,0,0,0,0,0,0
708,C.J. Board,NYG,WR,0.7,7.7,0,0,0,0,0,0,0,0
709,Brandon Zylstra,CAR,WR,0.7,7.5,0,0,0,0,0,0,0,0
710,Hakeem Butler,PHI,TE,0.8,8.3,0,0,0,0,0,0,0,0
711,Tim Tebow,JAC,TE,0.9,8.4,0,0,0,0,0,0,0,0
712,Jake Butt,CHI,TE,0.8,8.4,0,0,0,0,0,0,0,0
713,Ishmael Hyman,CAR,WR,0.7,7.4,0,0,0,0,0,0,0,0
714,Ryan Switzer,CLE,WR,0.8,7.3,0,0,0,0,0,0,0,0
715,James Proche,BAL,WR,0.7,7,0,0,0,0,0,0,0,0
716,Matt LaCosse,NE,TE,0.7,6.9,0,0,0,0,0,0,0,0
717,Cole Hikutini,NYG,TE,0.8,7.2,0,0,0,0,0,0,0,0
718,Tony Jones Jr.,NO,RB,0.2,0.4,0,0,0.9,0.7,0,0,0,0
720,Nate Sudfeld,SF,QB,0,0,0,0,0,0,0,0,0,0
721,Ben DiNucci,DAL,QB,0,0,0,0,0,0,0,0,0,0
722,Josh Rosen,SF,QB,0,0,0,0,0,0,0,0,0,0
723,Trevor Siemian,NO,QB,0,0,0,0,0,0,0,0,0,0
724,Jake Luton,JAC,QB,0,0,0,0,0,0,0,0,0,0
725,Cooper Rush,DAL,QB,0,0,0,0,0,0,0,0,0,0
726,Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0
727,Devlin Hodges,LAR,QB,0,0,0,0,0,0,0,0,0,0
728,C.J. Beathard,JAC,QB,0,0,0,0,0,0,0,0,0,0
729,Easton Stick,LAC,QB,0,0,0,0,0,0,0,0,0,0
730,Joshua Dobbs,PIT,QB,0,0,0,0,0,0,0,0,0,0
731,Brett Rypien,DEN,QB,0,0,0,0,0,0,0,0,0,0
732,Nathan Peterman,LV,QB,0,0,0,0,0,0,0,0,0,0
733,DeShone Kizer,TEN,QB,0,0,0,0,0,0,0,0,0,0
734,Will Grier,CAR,QB,0,0,0,0,0,0,0,0,0,0
735,Kyle Lauletta,CLE,QB,0,0,0,0,0,0,0,0,0,0
736,Nick Foles,CHI,QB,0,0,0,0,0,0,0,0,0,0
